"Municipio","Estacion","Fecha","Diametro aerodinamico","Medicion"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 09 12:00:00 AM","PM10","21.83"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 10 12:00:00 AM","PM10","29.98"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 11 12:00:00 AM","PM10","13.82"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 12 12:00:00 AM","PM10","32.61"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 13 12:00:00 AM","PM10","27.61"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 14 12:00:00 AM","PM10","32.9"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 15 12:00:00 AM","PM10","28.77"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 16 12:00:00 AM","PM10","67.3"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 17 12:00:00 AM","PM10","27.23"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 18 12:00:00 AM","PM10","12.6"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 19 12:00:00 AM","PM10","30.67"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 20 12:00:00 AM","PM10","24.24"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 21 12:00:00 AM","PM10","20.06"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 22 12:00:00 AM","PM10","17.56"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 23 12:00:00 AM","PM10","30.5"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 27 12:00:00 AM","PM10","33.46"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 28 12:00:00 AM","PM10","19.12"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 29 12:00:00 AM","PM10","15.87"
"Santa Rosa de Cabal","Centro Urbano","2008 Jun 30 12:00:00 AM","PM10","26.62"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 01 12:00:00 AM","PM10","28.68"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 02 12:00:00 AM","PM10","21.89"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 03 12:00:00 AM","PM10","14.32"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 04 12:00:00 AM","PM10","35.92"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 05 12:00:00 AM","PM10","26.93"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 06 12:00:00 AM","PM10","29.71"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 07 12:00:00 AM","PM10","31.21"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 08 12:00:00 AM","PM10","27.39"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 09 12:00:00 AM","PM10","35.8"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 10 12:00:00 AM","PM10","25.45"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 11 12:00:00 AM","PM10","35.77"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 12 12:00:00 AM","PM10","41.51"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 13 12:00:00 AM","PM10","26.38"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 14 12:00:00 AM","PM10","25.34"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 15 12:00:00 AM","PM10","49.87"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 16 12:00:00 AM","PM10","32.65"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 17 12:00:00 AM","PM10","42.19"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 18 12:00:00 AM","PM10","37.55"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 19 12:00:00 AM","PM10","29.09"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 20 12:00:00 AM","PM10","48.16"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 21 12:00:00 AM","PM10","75.16"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 22 12:00:00 AM","PM10","26.69"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 23 12:00:00 AM","PM10","54.57"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 24 12:00:00 AM","PM10","29.6"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 25 12:00:00 AM","PM10","54.81"
"Santa Rosa de Cabal","Centro Urbano","2008 Jul 26 12:00:00 AM","PM10","34.94"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 02 12:00:00 AM","PM10","29.57"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 03 12:00:00 AM","PM10","42.01"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 04 12:00:00 AM","PM10","38.24"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 05 12:00:00 AM","PM10","26.06"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 06 12:00:00 AM","PM10","31.86"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 07 12:00:00 AM","PM10","37.28"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 08 12:00:00 AM","PM10","26.36"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 09 12:00:00 AM","PM10","23.69"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 10 12:00:00 AM","PM10","29.68"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 11 12:00:00 AM","PM10","43.91"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 12 12:00:00 AM","PM10","32.43"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 13 12:00:00 AM","PM10","57.38"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 14 12:00:00 AM","PM10","63.43"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 15 12:00:00 AM","PM10","29.26"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 16 12:00:00 AM","PM10","32.74"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 17 12:00:00 AM","PM10","36.76"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 18 12:00:00 AM","PM10","38.57"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 19 12:00:00 AM","PM10","34.51"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 20 12:00:00 AM","PM10","37.7"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 21 12:00:00 AM","PM10","57.77"
"Pereira","Centro","2012 Dec 10 12:00:00 AM","PM2.5","7.14"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 22 12:00:00 AM","PM10","50.39"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 23 12:00:00 AM","PM10","42.72"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 24 12:00:00 AM","PM10","53.35"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 25 12:00:00 AM","PM10","32.03"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 26 12:00:00 AM","PM10","60.15"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 27 12:00:00 AM","PM10","27.25"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 28 12:00:00 AM","PM10","50.37"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 29 12:00:00 AM","PM10","38.68"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 30 12:00:00 AM","PM10","47.35"
"Santa Rosa de Cabal","Centro Urbano","2009 Jan 31 12:00:00 AM","PM10","35.42"
"Santa Rosa de Cabal","Centro Urbano","2009 Mar 03 12:00:00 AM","PM10","22.01"
"Santa Rosa de Cabal","Centro Urbano","2009 Mar 04 12:00:00 AM","PM10","38.09"
"Santa Rosa de Cabal","Centro Urbano","2009 Mar 05 12:00:00 AM","PM10","36.28"
"Santa Rosa de Cabal","Centro Urbano","2009 Mar 06 12:00:00 AM","PM10","34.85"
"Santa Rosa de Cabal","Centro Urbano","2009 Mar 07 12:00:00 AM","PM10","36.59"
